ColumnHeader,Depth,Species,Irrigation,Block
VW_Avg(1),D7,Ryegrass,Mid,1
VW_Avg(2),D23,Ryegrass,Mid,1
VW_Avg(3),D7,Ryegrass,Dry,1
VW_Avg(4),D23,Ryegrass,Dry,1
VW_Avg(5),D7,Lucerne,Dry,1
VW_Avg(6),D23,Lucerne,Dry,1
VW_Avg(7),D7,Lucerne,Low,1
VW_Avg(8),D23,Lucerne,Low,1
VW_Avg(9),D7,Ryegrass,Low,1
VW_Avg(10),D23,Ryegrass,Low,1
VW_Avg(11),D7,Lucerne,Mid,1
VW_Avg(12),D23,Lucerne,Mid,1
VW_Avg(13),D7,Lucerne,High,1
VW_Avg(14),D23,Lucerne,High,1
VW_Avg(15),D7,Ryegrass,High,1
VW_Avg(16),D23,Ryegrass,High,1
VW_Avg(17),D7,Ryegrass,High,2
VW_Avg(18),D23,Ryegrass,High,2
VW_Avg(19),D7,Ryegrass,Dry,2
VW_Avg(20),D23,Ryegrass,Dry,2
VW_Avg(21),D7,Lucerne,Low,2
VW_Avg(22),D23,Lucerne,Low,2
VW_Avg(23),D7,Ryegrass,Low,2
VW_Avg(24),D23,Ryegrass,Low,2
VW_Avg(25),D7,Lucerne,Dry,2
VW_Avg(26),D23,Lucerne,Dry,2
VW_Avg(27),D7,Lucerne,Mid,2
VW_Avg(28),D23,Lucerne,Mid,2
VW_Avg(29),D7,Lucerne,High,2
VW_Avg(30),D23,Lucerne,High,2
VW_Avg(31),D7,Ryegrass,Mid,2
VW_Avg(32),D23,Ryegrass,Mid,2
VW_2_Avg(1),D7,Ryegrass,Mid,3
VW_2_Avg(2),D23,Ryegrass,Mid,3
VW_2_Avg(3),D7,Lucerne,Low,3
VW_2_Avg(4),D23,Lucerne,Low,3
VW_2_Avg(5),D7,Lucerne,High,3
VW_2_Avg(6),D23,Lucerne,High,3
VW_2_Avg(7),D7,Lucerne,Dry,3
VW_2_Avg(8),D23,Lucerne,Dry,3
VW_2_Avg(9),D7,Ryegrass,High,3
VW_2_Avg(10),D23,Ryegrass,High,3
VW_2_Avg(11),D7,Lucerne,Mid,3
VW_2_Avg(12),D23,Lucerne,Mid,3
VW_2_Avg(13),D7,Ryegrass,Low,3
VW_2_Avg(14),D23,Ryegrass,Low,3
VW_2_Avg(15),D7,Ryegrass,Dry,3
VW_2_Avg(16),D23,Ryegrass,Dry,3
VW_2_Avg(17),D7,Ryegrass,High,4
VW_2_Avg(18),D23,Ryegrass,High,4
VW_2_Avg(19),D7,Lucerne,High,4
VW_2_Avg(20),D23,Lucerne,High,4
VW_2_Avg(21),D7,Lucerne,Low,4
VW_2_Avg(22),D23,Lucerne,Low,4
VW_2_Avg(23),D7,Lucerne,Mid,4
VW_2_Avg(24),D23,Lucerne,Mid,4
VW_2_Avg(25),D7,Ryegrass,Mid,4
VW_2_Avg(26),D23,Ryegrass,Mid,4
VW_2_Avg(27),D7,Lucerne,Dry,4
VW_2_Avg(28),D23,Lucerne,Dry,4
VW_2_Avg(29),D7,Ryegrass,Dry,4
VW_2_Avg(30),D23,Ryegrass,Dry,4
VW_2_Avg(31),D7,Ryegrass,Low,4
VW_2_Avg(32),D23,Ryegrass,Low,4
