Plot,Species,Irrigation,Treatment,Block
1,Ryegrass,Mid,R2,1
2,Ryegrass,Dry,R4,1
3,Lucerne,Dry,L4,1
4,Lucerne,Low,L3,1
5,Ryegrass,Low,R3,1
6,Lucerne,Mid,L2,1
7,Lucerne,High,L1,1
8,Ryegrass,High,R1,1
9,Ryegrass,High,R1,2
10,Ryegrass,Dry,R4,2
11,Lucerne,Low,L3,2
12,Ryegrass,Low,R3,2
13,Lucerne,Dry,L4,2
14,Lucerne,Mid,L2,2
15,Lucerne,High,L1,2
16,Ryegrass,Mid,R2,2
17,Ryegrass,Mid,R2,3
18,Lucerne,Low,L3,3
19,Lucerne,High,L1,3
20,Lucerne,Dry,L4,3
21,Ryegrass,High,R1,3
22,Lucerne,Mid,L2,3
23,Ryegrass,Low,R3,3
24,Ryegrass,Dry,R4,3
25,Ryegrass,High,R1,4
26,Lucerne,High,L1,4
27,Lucerne,Low,L3,4
28,Lucerne,Mid,L2,4
29,Ryegrass,Mid,R2,4
30,Lucerne,Dry,L4,4
31,Ryegrass,Dry,R4,4
32,Ryegrass,Low,R3,4
