ColumnHeader,Depth,Species,Irrigation,Block
P3_D110,D110,Lucerne,Dry,1
P13_D110,D110,Lucerne,Dry,2
P20_D110,D110,Lucerne,Dry,3
P30_D110,D110,Lucerne,Dry,4
P6_D110,D110,Lucerne,Mid,1
P14_D110,D110,Lucerne,Mid,2
P22_D110,D110,Lucerne,Mid,3
P28_D110,D110,Lucerne,Mid,4
P4_D110,D110,Lucerne,Low,1
P11_D110,D110,Lucerne,Low,2
P18_D110,D110,Lucerne,Low,3
P27_D110,D110,Lucerne,Low,4
P7_D110,D110,Lucerne,High,1
P15_D110,D110,Lucerne,High,2
P19_D110,D110,Lucerne,High,3
P26_D110,D110,Lucerne,High,4
P2_D110,D110,Ryegrass,Dry,1
P10_D110,D110,Ryegrass,Dry,2
P24_D110,D110,Ryegrass,Dry,3
P31_D110,D110,Ryegrass,Dry,4
P1_D110,D110,Ryegrass,Mid,1
P16_D110,D110,Ryegrass,Mid,2
P17_D110,D110,Ryegrass,Mid,3
P29_D110,D110,Ryegrass,Mid,4
P5_D110,D110,Ryegrass,Low,1
P12_D110,D110,Ryegrass,Low,2
P23_D110,D110,Ryegrass,Low,3
P32_D110,D110,Ryegrass,Low,4
P8_D110,D110,Ryegrass,High,1
P9_D110,D110,Ryegrass,High,2
P21_D110,D110,Ryegrass,High,3
P25_D110,D110,Ryegrass,High,4
P3_D130,D130,Lucerne,Dry,1
P13_D130,D130,Lucerne,Dry,2
P20_D130,D130,Lucerne,Dry,3
P30_D130,D130,Lucerne,Dry,4
P6_D130,D130,Lucerne,Mid,1
P14_D130,D130,Lucerne,Mid,2
P22_D130,D130,Lucerne,Mid,3
P28_D130,D130,Lucerne,Mid,4
P4_D130,D130,Lucerne,Low,1
P11_D130,D130,Lucerne,Low,2
P18_D130,D130,Lucerne,Low,3
P27_D130,D130,Lucerne,Low,4
P7_D130,D130,Lucerne,High,1
P15_D130,D130,Lucerne,High,2
P19_D130,D130,Lucerne,High,3
P26_D130,D130,Lucerne,High,4
P2_D130,D130,Ryegrass,Dry,1
P10_D130,D130,Ryegrass,Dry,2
P24_D130,D130,Ryegrass,Dry,3
P31_D130,D130,Ryegrass,Dry,4
P1_D130,D130,Ryegrass,Mid,1
P16_D130,D130,Ryegrass,Mid,2
P17_D130,D130,Ryegrass,Mid,3
P29_D130,D130,Ryegrass,Mid,4
P5_D130,D130,Ryegrass,Low,1
P12_D130,D130,Ryegrass,Low,2
P23_D130,D130,Ryegrass,Low,3
