,8,9,21,25,1,16,17,29,5,12,23,32,2,10,24,31
24-Mar-11,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
15-Apr-11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1-Jun-11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
1-Sep-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21-Sep-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28-Sep-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29-Sep-11,0.6,0.59,0.67,0.75,0.65,0.47,0.66,0.79,0.65,0.73,0.58,0.55,0.79,0.48,0.61,0.62
30-Sep-11,0.62,0.61,0.69,0.77,0.67,0.49,0.68,0.81,0.67,0.75,0.6,0.57,0.81,0.5,0.63,0.64
11-Oct-11,0.84,0.84,0.92,0.97,0.84,0.7,0.81,0.95,0.86,0.91,0.78,0.82,0.95,0.71,0.86,0.83
17-Oct-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29-Oct-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31-Oct-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1-Nov-11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
3-Nov-11,0.33,0.32,0.31,0.33,0.39,0.32,0.27,0.39,0.36,0.47,0.28,0.36,0.36,0.31,0.33,0.3
15-Nov-11,0.95,0.83,0.86,0.87,0.97,0.92,0.88,0.9,0.85,0.95,0.84,0.96,0.85,0.87,0.85,0.8
22-Nov-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29-Nov-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30-Nov-11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
1-Dec-11,0.58,0.76,0.6,0.65,0.56,0.55,0.67,0.67,0.63,0.61,0.6,0.68,0.56,0.63,0.55,0.58
9-Dec-11,0.85,0.96,0.93,0.94,0.84,0.84,0.9,0.9,0.88,0.87,0.83,0.92,0.62,0.64,0.63,0.77
13-Dec-11,1,1,1,1,1,1,1,1,1,1,1,1,0.95,0.93,0.97,1
19-Dec-11,1,1,1,1,1,1,1,1,1,1,1,1,0.95,0.93,0.97,1
20-Dec-11,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
21-Dec-11,0.59,0.59,0.71,0.66,0.62,0.62,0.64,0.7,0.64,0.67,0.64,0.63,0.74,0.64,0.73,0.77
28-Dec-11,0.94,0.89,1,0.97,0.87,0.9,0.88,0.94,0.9,0.92,0.91,0.91,0.8,0.72,0.81,0.85
12-Jan-12,1,1,1,1,1,1,1,1,1,1,1,1,0.66,0.59,0.62,0.77
24-Jan-12,1,1,1,1,1,1,1,1,1,1,1,1,0.59,0.49,0.64,0.68
25-Jan-12,1,1,1,1,1,1,1,1,1,1,1,1,0.59,0.49,0.64,0.68
